"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"net.bytebuddy:byte-buddy:1.18.11",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0.txt",
"net.bytebuddy:byte-buddy-agent:1.18.11",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0.txt",
